day,mixer_name,eth_tx_count,eth_in_eth,eth_out_eth,eth_net_eth,eth_total_eth,erc20_tx_count,erc20_in_usd,erc20_out_usd,erc20_net_usd,erc20_total_usd
2022/7/29,Aztec Connect,1038,328.845786,0,328.845786,328.845786,109,155249.0629,134260.176,20988.88695,289509.2389
2022/7/30,Aztec Connect,2349,591.6550433,0,591.6550433,591.6550433,189,204969.9905,204780.1463,189.8441788,409750.1368
2022/7/31,Aztec Connect,2308,609.2419858,0,609.2419858,609.2419858,204,228866.3849,177301.7052,51564.67973,406168.0901
2022/8/1,Aztec Connect,1211,453.6838974,0,453.6838974,453.6838974,134,193227.8857,125461.7202,67766.1655,318689.6059
2022/8/2,Aztec Connect,1041,434.1159591,0,434.1159591,434.1159591,127,155882.3272,139539.892,16342.43513,295422.2192
2022/8/3,Aztec Connect,936,328.6513795,0,328.6513795,328.6513795,95,134311.689,80482.60263,53829.08634,214794.2916
2022/8/4,Aztec Connect,1120,278.8630474,0,278.8630474,278.8630474,102,149991.5966,123242.3799,26749.21666,273233.9765
2022/8/5,Aztec Connect,1096,350.7788184,0,350.7788184,350.7788184,91,95548.97885,97899.75007,-2350.771223,193448.7289
2022/8/6,Aztec Connect,1426,366.7079983,0,366.7079983,366.7079983,151,226149.1353,204869.3804,21279.75482,431018.5157
2022/8/7,Aztec Connect,1803,415.9885957,0,415.9885957,415.9885957,178,366957.6902,223149.9768,143807.7133,590107.667
2022/8/8,Aztec Connect,1264,455.2811612,0,455.2811612,455.2811612,109,176119.3355,238560.2982,-62440.96272,414679.6337
2022/8/9,Aztec Connect,1395,728.1152752,0,728.1152752,728.1152752,141,434770.4613,132116.691,302653.7703,566887.1523
2022/8/10,Aztec Connect,1122,545.0703833,0,545.0703833,545.0703833,118,196722.7152,180365.6369,16357.07828,377088.3522
2022/8/11,Aztec Connect,955,288.0265396,0,288.0265396,288.0265396,102,184417.1219,263276.8311,-78859.70922,447693.953
2022/8/12,Aztec Connect,915,413.4384287,0,413.4384287,413.4384287,140,491821.1142,227864.57,263956.5442,719685.6841
2022/8/13,Aztec Connect,1311,604.8468626,0,604.8468626,604.8468626,119,239853.9464,236028.0361,3825.910249,475881.9825
2022/8/14,Aztec Connect,1503,850.2420251,0,850.2420251,850.2420251,133,207221.6655,371511.8013,-164290.1358,578733.4667
2022/8/15,Aztec Connect,756,381.5451444,0,381.5451444,381.5451444,105,220772.58,276448.5529,-55675.97289,497221.1329
2022/8/16,Aztec Connect,1075,332.4752418,0,332.4752418,332.4752418,78,178611.2779,121349.4197,57261.85814,299960.6976
2022/8/17,Aztec Connect,1093,412.1980088,0,412.1980088,412.1980088,83,190906.8115,145732.2178,45174.59369,336639.0292
2022/8/18,Aztec Connect,922,374.1939535,0,374.1939535,374.1939535,91,219510.6511,169030.773,50479.87808,388541.4241
2022/8/19,Aztec Connect,393,279.486007,0,279.486007,279.486007,70,137666.948,265256.4915,-127589.5434,402923.4395
2022/8/20,Aztec Connect,581,452.4376858,0,452.4376858,452.4376858,51,94181.62337,137058.6865,-42877.0631,231240.3098
2022/8/21,Aztec Connect,556,378.4360846,0,378.4360846,378.4360846,92,99091.94663,104689.1991,-5597.252468,203781.1457
2022/8/22,Aztec Connect,461,539.3193417,0,539.3193417,539.3193417,64,170643.8825,111753.1213,58890.76123,282397.0038
2022/8/23,Aztec Connect,467,602.267376,0,602.267376,602.267376,80,301174.5013,131357.6783,169816.823,432532.1796
2022/8/24,Aztec Connect,387,321.9831636,0,321.9831636,321.9831636,100,245285.7532,265676.9885,-20391.2353,510962.7417
2022/8/25,Aztec Connect,456,248.9357956,0,248.9357956,248.9357956,58,139320.5562,146973.7926,-7653.236422,286294.3488
2022/8/26,Aztec Connect,462,156.4408242,0,156.4408242,156.4408242,53,37991.30036,200735.4426,-162744.1422,238726.743
2022/8/27,Aztec Connect,528,311.9460236,0,311.9460236,311.9460236,64,96248.24741,78049.14324,18199.10417,174297.3906
2022/8/28,Aztec Connect,668,425.1490265,0,425.1490265,425.1490265,132,65413.12368,57518.0573,7895.06638,122931.181
2022/8/29,Aztec Connect,494,546.974558,0,546.974558,546.974558,124,413732.085,299538.2572,114193.8279,713270.3422
2022/8/30,Aztec Connect,342,414.1980517,0,414.1980517,414.1980517,63,30032.1479,333175.1369,-303142.989,363207.2848
2022/8/31,Aztec Connect,201,191.006876,0,191.006876,191.006876,52,40467.75476,25636.38393,14831.37083,66104.13868
2022/9/1,Aztec Connect,318,344.1937596,0,344.1937596,344.1937596,48,63051.50154,39752.15464,23299.3469,102803.6562
2022/9/2,Aztec Connect,416,274.422215,0,274.422215,274.422215,92,152133.2082,79685.88687,72447.32131,231819.095
